"game_pk","season","official_date","weekday","has_abs_challenges","n_mj_event","n_mj_play","max_remaining"
722650,2023,"2023-04-15","Saturday","FALSE",0,0,
722725,2023,"2023-04-15","Saturday","FALSE",0,0,
723020,2023,"2023-04-15","Saturday","FALSE",0,0,
723245,2023,"2023-04-15","Saturday","FALSE",0,0,
723599,2023,"2023-04-15","Saturday","FALSE",0,0,
723674,2023,"2023-04-15","Saturday","FALSE",0,0,
723752,2023,"2023-04-15","Saturday","FALSE",0,0,
725498,2023,"2023-04-15","Saturday","FALSE",0,0,
721646,2023,"2023-04-16","Sunday","FALSE",0,0,
721723,2023,"2023-04-16","Sunday","FALSE",0,0,
721796,2023,"2023-04-16","Sunday","FALSE",0,0,
721872,2023,"2023-04-16","Sunday","FALSE",0,0,
721951,2023,"2023-04-16","Sunday","FALSE",0,0,
722651,2023,"2023-04-16","Sunday","FALSE",0,0,
722949,2023,"2023-04-16","Sunday","FALSE",0,0,
722950,2023,"2023-04-16","Sunday","FALSE",0,0,
723019,2023,"2023-04-16","Sunday","FALSE",0,0,
723247,2023,"2023-04-16","Sunday","FALSE",0,0,
723602,2023,"2023-04-16","Sunday","FALSE",0,0,
723676,2023,"2023-04-16","Sunday","FALSE",0,0,
723751,2023,"2023-04-16","Sunday","FALSE",0,0,
725497,2023,"2023-04-16","Sunday","FALSE",0,0,
721352,2023,"2023-04-18","Tuesday","FALSE",0,0,
721424,2023,"2023-04-18","Tuesday","FALSE",0,0,
721505,2023,"2023-04-18","Tuesday","FALSE",0,0,
721577,2023,"2023-04-18","Tuesday","FALSE",0,0,
722023,2023,"2023-04-18","Tuesday","FALSE",0,0,
722795,2023,"2023-04-18","Tuesday","FALSE",0,0,
722873,2023,"2023-04-18","Tuesday","FALSE",0,0,
723095,2023,"2023-04-18","Tuesday","FALSE",0,0,
723170,2023,"2023-04-18","Tuesday","FALSE",0,0,
723323,2023,"2023-04-18","Tuesday","FALSE",0,0,
723397,2023,"2023-04-18","Tuesday","FALSE",0,0,
723472,2023,"2023-04-18","Tuesday","FALSE",0,0,
723829,2023,"2023-04-18","Tuesday","FALSE",0,0,
725392,2023,"2023-04-18","Tuesday","FALSE",0,0,
721347,2023,"2023-04-19","Wednesday","FALSE",0,0,
721428,2023,"2023-04-19","Wednesday","FALSE",0,0,
721498,2023,"2023-04-19","Wednesday","FALSE",0,0,
721575,2023,"2023-04-19","Wednesday","FALSE",0,0,
722026,2023,"2023-04-19","Wednesday","FALSE",0,0,
722872,2023,"2023-04-19","Wednesday","FALSE",0,0,
723098,2023,"2023-04-19","Wednesday","FALSE",0,0,
723172,2023,"2023-04-19","Wednesday","FALSE",0,0,
723322,2023,"2023-04-19","Wednesday","FALSE",0,0,
723401,2023,"2023-04-19","Wednesday","FALSE",0,0,
723471,2023,"2023-04-19","Wednesday","FALSE",0,0,
723823,2023,"2023-04-19","Wednesday","FALSE",0,0,
723882,2023,"2023-04-19","Wednesday","FALSE",0,0,
725388,2023,"2023-04-19","Wednesday","FALSE",0,0,
721353,2023,"2023-04-20","Thursday","FALSE",0,0,
721423,2023,"2023-04-20","Thursday","FALSE",0,0,
721502,2023,"2023-04-20","Thursday","FALSE",0,0,
721573,2023,"2023-04-20","Thursday","FALSE",0,0,
722022,2023,"2023-04-20","Thursday","FALSE",0,0,
