kind,game_date,n_scheduled_final,n_in_csv,missing_from_csv,extra_in_csv
day_missing,2022-07-10,15,,661092 661135 661178 661410 661520 661808 662183 662198 662215 662496 662662 662729 663048 663232 663307,
day_missing,2022-07-11,10,,661120 661324 661507 661814 661878 662100 662661 662700 662956 662996,
day_missing,2022-07-12,15,,661119 661262 661377 661506 661688 661722 661813 661877 662108 662660 662976 662984 663087 663187 663402,
day_missing,2022-07-13,16,,661118 661269 661376 661505 661687 661721 661812 661876 662107 662517 662531 662659 662895 662949 663230 663401,
day_missing,2022-07-14,13,,661100 661101 661117 661261 661375 661675 661720 661811 661875 662109 662518 663123 663386,
day_missing,2022-07-15,14,,661113 661116 661260 661374 661674 661719 661810 661874 662072 662197 662516 662923 662942 663385,
day_missing,2022-07-16,16,,661081 661114 661115 661259 661359 661673 661718 661809 661873 661966 662113 662271 662483 662909 662952 663415,
day_missing,2022-07-17,12,,661080 661082 661258 661373 661672 661717 661821 661872 662059 662269 662530 662908,
day_missing,2022-07-21,6,,661421 662408 662411 662685 662775 662776,
day_missing,2022-07-22,14,,661072 661193 661409 661504 661560 662167 662327 662344 662481 662589 662658 663060 663222 663306,
day_missing,2022-07-23,16,,661057 661201 661408 661503 661523 661559 662146 662348 662436 662495 662608 662657 662902 663047 663221 663305,
day_missing,2022-07-24,15,,661056 661184 661407 661502 661556 662145 662343 662357 662458 662656 662682 662901 663059 663220 663316,
day_missing,2022-07-25,12,,661055 661065 661231 661555 662166 662347 662576 662655 662809 663046 663219 663315,
day_missing,2022-07-26,15,,661054 661064 661079 661281 661563 661716 662184 662346 662438 662573 662653 662813 663029 663203 663314,
day_missing,2022-07-27,14,,661053 661078 661249 661554 661715 662165 662345 662420 662565 662652 662900 663028 663191 663294,
day_missing,2022-07-28,10,,661052 661077 661257 661714 662058 662326 662907 663027 663200 663380,
day_missing,2022-07-29,15,,661076 661256 661372 661406 661501 661713 661871 662057 662268 662435 662477 662745 663026 663190 663379,
day_missing,2022-07-30,15,,661255 661371 661451 661499 661712 661870 662112 662196 662415 662476 662738 662989 663025 663192 663378,
day_missing,2022-07-31,15,,661254 661370 661388 661498 661711 661869 662071 662267 662414 662475 662918 662988 663024 663189 663377,
day_missing,2022-08-01,10,,661268 661369 661387 661671 661820 662070 662224 662474 662737 662947,
day_missing,2022-08-02,16,,661253 661368 661386 661496 661661 661819 661868 661959 662056 662220 662250 662298 662529 662736 662941 663376,
day_missing,2022-08-03,14,,661293 661367 661385 661500 661664 661818 661867 662055 662244 662324 662552 662725 662946 663375,
day_missing,2022-08-04,13,,661565 661660 661817 661932 661945 662114 662219 662303 662419 662651 662812 662975 663374,
day_missing,2022-08-05,14,,661048 661063 661174 661562 661659 661816 661946 662164 662418 662564 662650 662811 662945 663313,
day_missing,2022-08-06,17,,661050 661062 661173 661561 661662 661815 661949 662154 662193 662308 662417 662499 662649 662654 662856 662937 663288,
day_missing,2022-08-07,15,,661049 661061 661172 661558 661653 661835 661948 662153 662332 662416 662563 662648 662810 662944 663300,
day_missing,2022-08-08,7,,661047 661060 662152 662218 662331 662445 663304,
day_missing,2022-08-09,16,,661046 661059 661182 661553 662148 662246 662330 662444 662562 662647 662724 662779 662793 662979 663201 663303,
day_missing,2022-08-10,14,,661207 661557 662185 662217 662316 662443 662575 662639 662723 662791 662892 663188 663229 663302,
day_missing,2022-08-11,8,,661608 662645 662722 662790 662891 663023 663274 663293,
day_missing,2022-08-12,14,,661366 661384 661710 661791 661866 661947 662111 662434 662551 662671 662817 662978 663177 663373,
day_missing,2022-08-13,16,,661360 661383 661428 661709 661790 661865 661951 662110 662428 662473 662670 662824 662882 663022 663176 663372,
day_missing,2022-08-14,15,,661338 661450 661708 661789 661864 661957 662035 662427 662472 662669 662801 662881 663021 663175 663371,
day_missing,2022-08-15,14,,661199 661283 661358 661449 661497 661676 661707 661834 662034 662471 662948 662977 663020 663370,
day_missing,2022-08-16,15,,661191 661250 661357 661448 661495 661682 661706 661833 661955 662004 662302 662550 662943 663019 663369,
day_missing,2022-08-17,15,,661171 661266 661356 661447 661494 661654 661705 661788 661938 662003 662301 662470 662951 663017 663408,
day_missing,2022-08-18,11,,661109 661179 661265 661446 661493 661787 661863 661937 662002 662182 662413,
day_missing,2022-08-19,15,,661044 661319 661492 661607 661655 661862 662181 662341 662396 662574 662808 662880 662936 663228 663292,
day_missing,2022-08-20,16,,661043 661240 661606 661610 661628 661670 661861 662180 662340 662395 662561 662879 662917 662953 663116 663291,
day_missing,2022-08-21,14,,661051 661239 661480 661602 661652 661860 662179 662300 662315 662600 662805 662878 663115 663301,
day_missing,2022-08-22,9,,661238 661601 661658 661859 662314 662394 662594 662767 663114,
day_missing,2022-08-23,16,,661237 661600 661858 662142 662213 662339 662383 662605 662668 662800 662876 662914 663113 663163 663174 663461,
day_missing,2022-08-24,14,,661605 661857 662144 662212 662338 662371 662604 662640 662799 662877 662916 663173 663216 663460,
day_missing,2022-08-25,9,,661604 661856 662141 662337 662433 662711 663172 663240 663459,
day_missing,2022-08-26,15,,661189 661355 661445 661603 661669 661704 661786 661940 662143 662342 662432 662469 662667 662710 663171,
day_missing,2022-08-27,15,,661090 661180 661354 661444 661599 661657 661703 661785 661939 662140 662336 662442 662468 662666 663170,
day_missing,2022-08-28,15,,661089 661168 661353 661443 661598 661663 661773 661784 661950 662139 662335 662446 662467 662638 663211,
day_missing,2022-08-29,8,,661167 661352 661651 661801 662001 663018 663332 663424,
day_missing,2022-08-30,15,,661166 661351 661442 661479 661648 661800 661832 662000 662426 662466 662804 662973 663137 663286 663437,
day_missing,2022-08-31,15,,661165 661350 661441 661478 661649 661779 661831 662033 662447 662465 662903 662972 662995 663312 663410,
day_missing,2022-09-01,8,,661440 661477 662410 662491 662785 662971 663210 663290,
day_missing,2022-09-02,15,,661439 661476 661855 661920 662032 662356 662409 662603 662915 662961 663133 663212 663285 663356 663428,
day_missing,2022-09-03,14,,661438 661475 661854 661928 662031 662286 662425 662597 662803 662963 663214 663321 663355 663436,
day_missing,2022-09-04,16,,661437 661474 661853 661927 662030 662299 662424 662599 662786 662962 663107 663108 663213 663311 663354 663435,
day_missing,2022-09-05,12,,661045 661088 661236 661852 661926 662121 662211 662602 662646 662860 663353 663434,
day_missing,2022-09-06,14,,661087 661597 661925 662043 662138 662205 662282 662313 662601 662644 662859 663242 663407 663458,
day_missing,2022-09-07,17,,661086 661235 661251 661596 661924 662065 662137 662216 662283 662285 662312 662582 662643 662871 663168 663409 663457,
day_missing,2022-09-08,7,,661219 661233 661252 661595 661923 662334 663241,
day_missing,2022-09-09,15,,661085 661185 661234 661337 661594 661650 661830 661850 662136 662284 662333 662637 662870 663217 663456,
day_missing,2022-09-10,15,,661084 661175 661282 661323 661593 661665 661841 661849 662088 662265 662322 662636 662869 663127 663455,
day_missing,2022-09-11,15,,661083 661176 661232 661322 661592 661647 661839 661848 662120 662323 662325 662635 662868 663130 663264,
day_missing,2022-09-12,9,,661419 661420 661799 662029 662423 662782 662970 663085 663324,
day_missing,2022-09-13,17,,661320 661436 661645 661798 661838 661840 661922 662028 662119 662430 662464 662787 662965 663106 663158 663160 663323,
day_missing,2022-09-14,15,,661336 661435 661646 661770 661829 661921 662027 662118 662422 662463 662792 662969 663006 663159 663322,
day_missing,2022-09-15,8,,661321 661644 661822 661919 662398 662709 662974 663284,
day_missing,2022-09-16,15,,661164 661473 661776 661953 662026 662064 662404 662490 662740 662781 662959 663126 663209 663283 663427,
day_missing,2022-09-17,17,,661163 661472 661769 661952 661965 662015 662024 662403 662462 662784 662823 662958 663129 663141 663208 663289 663426,
day_missing,2022-09-18,15,,661162 661471 661780 661930 661994 662025 662402 662461 662783 662822 662968 663112 663207 663287 663425,
day_missing,2022-09-19,9,,661161 661299 661470 662013 662622 662886 663044 663263 663423,
day_missing,2022-09-20,16,,661159 661229 661298 661434 661469 661591 661837 662012 662204 662321 662607 662621 662634 662867 663104 663262,
day_missing,2022-09-21,15,,661070 661158 661228 661297 661433 661468 661588 661783 662011 662203 662320 662606 662633 662899 663261,
day_missing,2022-09-22,13,,661069 661243 661432 661609 661806 662041 662202 662264 662306 662586 662632 662898 663260,
day_missing,2022-09-23,15,,661068 661222 661296 661431 661587 661668 661807 662040 662263 662305 662585 662642 662897 663259 663282,
day_missing,2022-09-24,15,,661067 661221 661295 661430 661586 661656 661805 662039 662249 662311 662584 662641 662866 663258 663281,
day_missing,2022-09-25,15,,661066 661220 661294 661429 661585 661667 661828 662063 662243 662310 662598 662631 662865 663280 663454,
day_missing,2022-09-26,4,,661768 662242 662460 663250,
day_missing,2022-09-27,15,,661155 661666 661778 662046 662117 662210 662241 662401 662489 662774 662821 662955 663128 663206 663422,
day_missing,2022-09-28,15,,661099 661112 661133 661154 661737 662045 662214 662240 662400 662773 662820 662967 663098 663181 663421,
day_missing,2022-09-29,10,,661128 661132 661156 662050 662209 662772 662932 663110 663180 663420,
day_missing,2022-09-30,15,,661097 661111 661157 661218 661467 661751 661958 662049 662208 662596 662771 662819 662940 663099 663406,
day_missing,2022-10-01,16,,661098 661110 661152 661217 661466 661736 661956 662023 662207 662572 662595 662770 662818 662939 663167 663405,
day_missing,2022-10-02,15,,661096 661153 661215 661465 661735 661954 662022 662087 662190 662581 662769 662825 662938 663097 663419,
day_missing,2022-10-03,14,,661213 661424 661464 662044 662201 662239 662309 662431 662629 662777 663096 663105 663273 663453,
day_missing,2022-10-04,17,,661094 661095 661223 661423 661463 662010 662062 662199 662200 662252 662319 662429 662624 662768 663077 663243 663452,
day_missing,2022-10-05,16,,661227 661422 661427 661996 662195 662238 662304 662421 662488 662623 662789 663095 663131 663272 663352 663451,
game_pk_mismatch,2024-09-29,15,14,746577,
